Transaction ID,Customer ID,Purchase Date,Age,Gender,Location,Online/Offline,Online Store,Category,Item Purchased,Brand,Color,Size,Quantity,Purchase Amount (₹),Discount (%),Festival/Sale,Shipping Charge (₹),Delivery Speed,Delivery Time (Days),Subscription Status,Payment Method,Review Rating,Return Status,Previous Purchases,Frequency of Purchases,Year,Month Number,Month,Year-Month,Quarter,Day of Week,Age Group,Returned,Subscribed,Online Purchase,Sale Purchase,Average Amount per Item (₹),Has Discount,Has Shipping Charge
TXN500010,CUST002123,2024-05-20,42,Male,Pune,Offline,In-Store Purchase,Footwear,Formal Shoes,Hush Puppies,Beige,6,4,22024,1,Standard Day,0,N/A (Offline),0,No,Debit Card,4,Not Returned,4,Quarterly,2024,5,May,2024-05,Q2,Monday,35-44,False,False,False,False,5506.0,True,False
TXN500011,CUST002895,2023-06-19,29,Female,Noida,Offline,In-Store Purchase,Clothing,Trousers,Max,Black,XS,1,571,9,Standard Day,0,N/A (Offline),0,Yes,Debit Card,3,Not Returned,15,Fortnightly,2023,6,June,2023-06,Q2,Monday,25-34,False,True,False,False,571.0,True,False
TXN500012,CUST003486,2023-03-18,24,Female,Patna,Online,Meesho,Accessories,Belt,Tommy Hilfiger,Red,Free Size,2,5150,12,Standard Day,0,Standard,5,No,Credit Card,5,Not Returned,0,Rarely,2023,3,March,2023-03,Q1,Saturday,18-24,False,False,True,False,2575.0,True,False
TXN500013,CUST000901,2023-08-27,52,Male,Visakhapatnam,Online,Amazon,Footwear,Sneakers,Adidas,Blue,6,3,15630,2,Standard Day,0,Standard,4,No,Debit Card,4,Not Returned,34,Weekly,2023,8,August,2023-08,Q3,Sunday,45-54,False,False,True,False,5210.0,True,False
TXN500014,CUST003183,2024-01-16,41,Male,Nagpur,Offline,In-Store Purchase,Footwear,Sneakers,Adidas,Beige,11,1,19500,12,In-Store Festival Offer,0,N/A (Offline),0,No,Cash,4,Not Returned,44,Weekly,2024,1,January,2024-01,Q1,Tuesday,35-44,False,False,False,True,19500.0,True,False
TXN500015,CUST003191,2023-07-14,21,Female,Bangalore,Online,Ajio,Clothing,Kurta,Max,Olive,L,1,2049,15,Standard Day,0,Express,1,No,Credit Card,3,Not Returned,2,Quarterly,2023,7,July,2023-07,Q3,Friday,18-24,False,False,True,False,2049.0,True,False
TXN500016,CUST002569,2023-03-12,32,Female,Delhi,Online,Ajio,Clothing,Hoodie,Adidas,Red,XL,1,4070,7,Standard Day,40,Standard,7,No,Credit Card,4,Not Returned,14,Monthly,2023,3,March,2023-03,Q1,Sunday,25-34,False,False,True,False,4070.0,True,True
TXN500017,CUST001825,2024-04-07,40,Male,Nagpur,Online,Meesho,Accessories,Cap,Wildcraft,Green,Free Size,3,1990,9,Standard Day,0,Standard,5,No,UPI,3,Not Returned,0,Rarely,2024,4,April,2024-04,Q2,Sunday,35-44,False,False,True,False,663.3333333333334,True,False
TXN500018,CUST002953,2023-10-09,49,Male,Chennai,Online,Meesho,Accessories,Belt,Levis,Grey,Free Size,1,1023,3,Standard Day,0,Standard,3,No,UPI,5,Not Returned,24,Fortnightly,2023,10,October,2023-10,Q4,Monday,45-54,False,False,True,False,1023.0,True,False
TXN500019,CUST002833,2023-06-05,28,Male,Chennai,Online,Ajio,Clothing,T-shirt,Puma,Black,XXL,1,617,9,Standard Day,60,Express,2,No,Cash on Delivery,5,Not Returned,15,Fortnightly,2023,6,June,2023-06,Q2,Monday,25-34,False,False,True,False,617.0,True,True
TXN500020,CUST003349,2024-03-13,55,Female,Lucknow,Online,Myntra,Clothing,T-shirt,HRX,Navy,L,4,4680,14,Standard Day,0,Standard,7,No,Wallet,1,Not Returned,2,Quarterly,2024,3,March,2024-03,Q1,Wednesday,55-64,False,False,True,False,1170.0,True,False
TXN500021,CUST003458,2023-07-27,45,Male,Kolkata,Offline,In-Store Purchase,Clothing,Shorts,Nike,Black,L,2,4400,2,Standard Day,0,N/A (Offline),0,Yes,UPI,4,Not Returned,0,Rarely,2023,7,July,2023-07,Q3,Thursday,45-54,False,True,False,False,2200.0,True,False
TXN500022,CUST001817,2024-02-16,60,Female,Ahmedabad,Offline,In-Store Purchase,Footwear,Boots,Hush Puppies,Grey,6,1,2881,3,Standard Day,0,N/A (Offline),0,No,UPI,3,Not Returned,7,Monthly,2024,2,February,2024-02,Q1,Friday,55-64,False,False,False,False,2881.0,True,False
TXN500023,CUST002001,2024-06-28,21,Female,Delhi,Offline,In-Store Purchase,Accessories,Bag,Puma,Navy,Free Size,1,5956,5,Standard Day,0,N/A (Offline),0,Yes,Credit Card,4,Not Returned,39,Weekly,2024,6,June,2024-06,Q2,Friday,18-24,False,True,False,False,5956.0,True,False
TXN500024,CUST001699,2024-04-15,27,Male,Noida,Online,Flipkart,Clothing,Shorts,Adidas,Olive,XS,1,2126,7,Standard Day,0,Same Day,0,Yes,Wallet,4,Not Returned,24,Fortnightly,2024,4,April,2024-04,Q2,Monday,25-34,False,True,True,False,2126.0,True,False
TXN500025,CUST001098,2023-02-26,46,Female,Ahmedabad,Online,Ajio,Clothing,T-shirt,Max,Blue,XL,1,726,3,Standard Day,99,Express,2,No,Cash on Delivery,3,Not Returned,1,Rarely,2023,2,February,2023-02,Q1,Sunday,45-54,False,False,True,False,726.0,True,True
TXN500026,CUST002895,2023-04-27,29,Female,Noida,Online,Amazon,Clothing,Dress,Zara,Grey,XS,1,5810,2,Standard Day,0,Standard,5,Yes,Debit Card,4,Not Returned,16,Fortnightly,2023,4,April,2023-04,Q2,Thursday,25-34,False,True,True,False,5810.0,True,False
TXN500027,CUST000202,2023-06-24,49,Female,Chandigarh,Online,Myntra,Clothing,T-shirt,Levis,Olive,XXL,1,1978,15,Standard Day,0,Standard,5,Yes,Debit Card,4,Not Returned,12,Monthly,2023,6,June,2023-06,Q2,Saturday,45-54,False,True,True,False,1978.0,True,False
TXN500028,CUST003354,2024-10-01,36,Female,Indore,Online,Nykaa,Clothing,Jacket,Adidas,Grey,L,1,4546,0,Standard Day,40,Same Day,0,No,UPI,4,Not Returned,2,Quarterly,2024,10,October,2024-10,Q4,Tuesday,35-44,False,False,True,False,4546.0,False,True
TXN500029,CUST000807,2024-09-19,49,Male,Lucknow,Online,Myntra,Clothing,Shorts,Adidas,Navy,XL,2,4480,7,Standard Day,0,Standard,4,No,Debit Card,4,Not Returned,33,Fortnightly,2024,9,September,2024-09,Q3,Thursday,45-54,False,False,True,False,2240.0,True,False
TXN500030,CUST000691,2023-03-21,42,Male,Bhubaneswar,Online,Ajio,Clothing,Saree,Max,Blue,XL,1,4995,13,Standard Day,0,Standard,6,Yes,UPI,2,Not Returned,19,Monthly,2023,3,March,2023-03,Q1,Tuesday,35-44,False,True,True,False,4995.0,True,False
TXN500031,CUST000865,2024-02-27,25,Male,Jaipur,Online,Amazon,Footwear,Formal Shoes,Zara,Olive,10,2,17370,14,Standard Day,60,Standard,6,No,Net Banking,3,Not Returned,18,Fortnightly,2024,2,February,2024-02,Q1,Tuesday,25-34,False,False,True,False,8685.0,True,True
TXN500032,CUST000677,2024-11-22,22,Female,Bhubaneswar,Online,Flipkart,Footwear,Slippers,Zara,Navy,10,1,716,14,Standard Day,0,Standard,3,No,Debit Card,3,Not Returned,4,Quarterly,2024,11,November,2024-11,Q4,Friday,18-24,False,False,True,False,716.0,True,False
TXN500033,CUST000072,2023-05-11,18,Male,Nagpur,Online,Amazon,Footwear,Running Shoes,Nike,Navy,6,1,10203,3,Standard Day,0,Standard,7,Yes,Credit Card,4,Not Returned,0,Rarely,2023,5,May,2023-05,Q2,Thursday,18-24,False,True,True,False,10203.0,True,False
TXN500034,CUST002280,2024-02-06,52,Female,Hyderabad,Online,Nykaa,Footwear,Boots,Bata,Beige,11,1,4820,5,Standard Day,0,Express,1,Yes,Debit Card,3,Not Returned,5,Quarterly,2024,2,February,2024-02,Q1,Tuesday,45-54,False,True,True,False,4820.0,True,False
TXN500035,CUST000995,2023-05-25,21,Male,Noida,Online,Ajio,Clothing,Shorts,HRX,Red,XXL,1,1517,14,Standard Day,60,Standard,6,No,Credit Card,2,Not Returned,17,Fortnightly,2023,5,May,2023-05,Q2,Thursday,18-24,False,False,True,False,1517.0,True,True
TXN500036,CUST001070,2023-06-17,28,Male,Bangalore,Online,Nykaa,Clothing,Saree,FabIndia,Brown,XXL,1,10115,6,Standard Day,99,Standard,7,No,Debit Card,4,Not Returned,0,Rarely,2023,6,June,2023-06,Q2,Saturday,25-34,False,False,True,False,10115.0,True,True
TXN500037,CUST001041,2023-07-02,36,Other,Patna,Offline,In-Store Purchase,Clothing,Kurta,Max,Navy,XXL,1,889,4,Standard Day,0,N/A (Offline),0,No,UPI,2,Not Returned,1,Rarely,2023,7,July,2023-07,Q3,Sunday,35-44,False,False,False,False,889.0,True,False
TXN500038,CUST003133,2023-06-15,22,Female,Bhubaneswar,Offline,In-Store Purchase,Clothing,T-shirt,Puma,Beige,XS,1,1956,7,Standard Day,0,N/A (Offline),0,No,Cash,4,Not Returned,0,Rarely,2023,6,June,2023-06,Q2,Thursday,18-24,False,False,False,False,1956.0,True,False
TXN500039,CUST000741,2023-03-30,53,Female,Kolkata,Offline,In-Store Purchase,Footwear,Sneakers,HRX,Black,9,1,13099,6,Standard Day,0,N/A (Offline),0,No,UPI,3,Not Returned,12,Monthly,2023,3,March,2023-03,Q1,Thursday,45-54,False,False,False,False,13099.0,True,False
TXN500040,CUST000761,2024-05-09,19,Female,Jaipur,Online,Flipkart,Clothing,Saree,Max,Blue,S,1,2091,10,Standard Day,40,Express,1,No,Debit Card,2,Not Returned,30,Weekly,2024,5,May,2024-05,Q2,Thursday,18-24,False,False,True,False,2091.0,True,True
TXN500041,CUST000173,2024-04-17,25,Female,Gurgaon,Online,Ajio,Footwear,Boots,Zara,Brown,10,4,12081,7,Standard Day,99,Standard,3,No,Wallet,4,Not Returned,1,Rarely,2024,4,April,2024-04,Q2,Wednesday,25-34,False,False,True,False,3020.25,True,True
TXN500042,CUST001930,2024-05-15,50,Other,Nagpur,Offline,In-Store Purchase,Clothing,Kurta,Max,Grey,L,1,1195,3,Standard Day,0,N/A (Offline),0,Yes,Debit Card,2,Not Returned,44,Weekly,2024,5,May,2024-05,Q2,Wednesday,45-54,False,True,False,False,1195.0,True,False
TXN500043,CUST001252,2024-03-03,53,Female,Visakhapatnam,Online,Flipkart,Footwear,Running Shoes,Adidas,Brown,8,1,22978,6,Standard Day,60,Standard,6,No,UPI,2,Returned,0,Rarely,2024,3,March,2024-03,Q1,Sunday,45-54,True,False,True,False,22978.0,True,True
TXN500044,CUST001857,2023-05-13,32,Male,Bhubaneswar,Offline,In-Store Purchase,Clothing,Saree,Max,Green,XS,3,5667,6,Standard Day,0,N/A (Offline),0,No,UPI,3,Not Returned,0,Rarely,2023,5,May,2023-05,Q2,Saturday,25-34,False,False,False,False,1889.0,True,False
TXN500045,CUST000968,2024-07-21,53,Female,Chennai,Online,Ajio,Clothing,Hoodie,Adidas,Grey,XS,1,2384,13,Standard Day,40,Express,1,No,UPI,5,Not Returned,3,Quarterly,2024,7,July,2024-07,Q3,Sunday,45-54,False,False,True,False,2384.0,True,True
TXN500046,CUST000715,2023-06-02,19,Male,Ahmedabad,Online,Flipkart,Footwear,Running Shoes,Adidas,Beige,6,3,48888,15,Standard Day,0,Express,1,No,Net Banking,4,Not Returned,0,Rarely,2023,6,June,2023-06,Q2,Friday,18-24,False,False,True,False,16296.0,True,False
TXN500047,CUST002928,2023-10-10,49,Male,Visakhapatnam,Online,Flipkart,Clothing,T-shirt,Max,Blue,S,1,392,6,Standard Day,40,Same Day,0,No,Debit Card,2,Not Returned,1,Rarely,2023,10,October,2023-10,Q4,Tuesday,45-54,False,False,True,False,392.0,True,True
TXN500048,CUST002939,2023-07-16,46,Female,Bangalore,Online,Meesho,Clothing,Saree,FabIndia,Olive,S,2,3744,3,Standard Day,60,Same Day,0,No,UPI,4,Returned,31,Fortnightly,2023,7,July,2023-07,Q3,Sunday,45-54,True,False,True,False,1872.0,True,True
TXN500049,CUST003311,2023-10-29,43,Female,Kolkata,Online,Flipkart,Footwear,Sneakers,Nike,White,7,1,25302,13,Standard Day,40,Standard,5,No,Debit Card,3,Not Returned,0,Rarely,2023,10,October,2023-10,Q4,Sunday,35-44,False,False,True,False,25302.0,True,True
TXN500050,CUST003183,2024-09-07,41,Male,Nagpur,Online,Meesho,Clothing,Dress,Levis,Beige,XS,1,3660,8,Standard Day,0,Same Day,0,No,UPI,5,Not Returned,32,Weekly,2024,9,September,2024-09,Q3,Saturday,35-44,False,False,True,False,3660.0,True,False
TXN500051,CUST003255,2023-11-06,57,Female,Pune,Online,Flipkart,Footwear,Sandals,Zara,Black,7,2,5209,15,Standard Day,40,Standard,5,No,Debit Card,4,Returned,17,Fortnightly,2023,11,November,2023-11,Q4,Monday,55-64,True,False,True,False,2604.5,True,True
TXN500052,CUST002404,2023-05-30,18,Female,Nagpur,Offline,In-Store Purchase,Clothing,Saree,Max,Navy,XS,1,1270,1,Standard Day,0,N/A (Offline),0,No,UPI,3,Not Returned,41,Weekly,2023,5,May,2023-05,Q2,Tuesday,18-24,False,False,False,False,1270.0,True,False
TXN500053,CUST000185,2024-11-22,25,Female,Noida,Offline,In-Store Purchase,Clothing,Kurta,FabIndia,Black,M,1,2892,12,In-Store Festival Offer,0,N/A (Offline),0,No,Credit Card,4,Not Returned,26,Fortnightly,2024,11,November,2024-11,Q4,Friday,25-34,False,False,False,True,2892.0,True,False
TXN500054,CUST002310,2024-07-27,57,Female,Kolkata,Online,Nykaa,Footwear,Sneakers,Nike,Black,9,2,29770,11,Standard Day,40,Standard,3,No,Credit Card,4,Not Returned,4,Quarterly,2024,7,July,2024-07,Q3,Saturday,55-64,False,False,True,False,14885.0,True,True
TXN500055,CUST001797,2023-05-03,35,Female,Bangalore,Offline,In-Store Purchase,Accessories,Cap,Levis,Olive,Free Size,1,1002,7,Standard Day,0,N/A (Offline),0,No,Credit Card,3,Not Returned,1,Rarely,2023,5,May,2023-05,Q2,Wednesday,35-44,False,False,False,False,1002.0,True,False
TXN500056,CUST000623,2024-02-19,47,Male,Gurgaon,Offline,In-Store Purchase,Clothing,Jacket,HRX,Green,XXL,1,3192,6,Standard Day,0,N/A (Offline),0,No,Cash,3,Returned,6,Quarterly,2024,2,February,2024-02,Q1,Monday,45-54,True,False,False,False,3192.0,True,False
TXN500057,CUST002698,2023-02-18,42,Male,Bangalore,Online,Meesho,Clothing,Shorts,Nike,Beige,XS,4,13252,1,Standard Day,0,Standard,3,Yes,UPI,5,Not Returned,4,Quarterly,2023,2,February,2023-02,Q1,Saturday,35-44,False,True,True,False,3313.0,True,False
TXN500058,CUST001388,2024-12-18,47,Male,Chennai,Offline,In-Store Purchase,Accessories,Wallet,Levis,White,Free Size,3,8509,0,Standard Day,0,N/A (Offline),0,No,Credit Card,3,Not Returned,0,Rarely,2024,12,December,2024-12,Q4,Wednesday,45-54,False,False,False,False,2836.3333333333335,False,False
TXN500059,CUST003134,2023-10-10,29,Female,Pune,Offline,In-Store Purchase,Footwear,Sandals,Max,Red,6,1,889,21,In-Store Festival Offer,0,N/A (Offline),0,No,Cash,3,Not Returned,27,Fortnightly,2023,10,October,2023-10,Q4,Tuesday,25-34,False,False,False,True,889.0,True,False
TXN500060,CUST000669,2023-09-27,27,Female,Mumbai,Online,Meesho,Accessories,Socks,Wildcraft,Green,Free Size,1,232,14,Standard Day,40,Standard,7,No,Credit Card,3,Returned,37,Weekly,2023,9,September,2023-09,Q3,Wednesday,25-34,True,False,True,False,232.0,True,True
TXN500061,CUST000794,2024-06-13,55,Female,Chennai,Online,Flipkart,Footwear,Formal Shoes,Hush Puppies,Brown,9,2,17089,12,Standard Day,40,Express,1,No,UPI,3,Not Returned,3,Quarterly,2024,6,June,2024-06,Q2,Thursday,55-64,False,False,True,False,8544.5,True,True
TXN500062,CUST001923,2023-09-19,52,Female,Lucknow,Online,Meesho,Footwear,Running Shoes,Nike,Navy,10,2,29796,5,Standard Day,0,Standard,7,No,Credit Card,3,Returned,4,Quarterly,2023,9,September,2023-09,Q3,Tuesday,45-54,True,False,True,False,14898.0,True,False
TXN500063,CUST001603,2024-10-18,27,Female,Delhi,Online,Amazon,Clothing,Hoodie,Nike,Blue,XL,1,6514,4,Standard Day,60,Express,1,No,Debit Card,4,Not Returned,17,Fortnightly,2024,10,October,2024-10,Q4,Friday,25-34,False,False,True,False,6514.0,True,True
TXN500064,CUST000166,2024-11-24,46,Male,Delhi,Online,Nykaa,Clothing,Shorts,Puma,Beige,XXL,1,820,27,Nykaa Pink Friday,0,Express,1,No,UPI,5,Not Returned,3,Quarterly,2024,11,November,2024-11,Q4,Sunday,45-54,False,False,True,True,820.0,True,False
TXN500065,CUST000930,2024-08-28,28,Male,Bhubaneswar,Online,Ajio,Clothing,Saree,FabIndia,Brown,XXL,3,5409,6,Standard Day,40,Express,2,No,Debit Card,4,Not Returned,1,Rarely,2024,8,August,2024-08,Q3,Wednesday,25-34,False,False,True,False,1803.0,True,True
TXN500066,CUST001056,2024-10-18,52,Male,Bhubaneswar,Online,Meesho,Accessories,Cap,Wildcraft,Blue,Free Size,1,648,12,Standard Day,40,Standard,7,No,UPI,3,Not Returned,62,Weekly,2024,10,October,2024-10,Q4,Friday,45-54,False,False,True,False,648.0,True,True
TXN500067,CUST000741,2023-05-11,53,Female,Kolkata,Offline,In-Store Purchase,Clothing,Saree,Biba,White,XL,1,9997,2,Standard Day,0,N/A (Offline),0,No,UPI,4,Not Returned,11,Monthly,2023,5,May,2023-05,Q2,Thursday,45-54,False,False,False,False,9997.0,True,False
TXN500068,CUST001761,2024-08-17,50,Male,Delhi,Online,Flipkart,Accessories,Cap,Wildcraft,Brown,Free Size,1,968,5,Standard Day,0,Express,2,No,Cash on Delivery,2,Not Returned,1,Rarely,2024,8,August,2024-08,Q3,Saturday,45-54,False,False,True,False,968.0,True,False
TXN500069,CUST001398,2023-08-23,53,Male,Noida,Online,Meesho,Clothing,T-shirt,Allen Solly,Grey,S,1,1541,1,Standard Day,40,Express,1,No,Cash on Delivery,3,Not Returned,29,Fortnightly,2023,8,August,2023-08,Q3,Wednesday,45-54,False,False,True,False,1541.0,True,True
TXN500070,CUST000452,2023-05-22,43,Male,Chandigarh,Online,Myntra,Clothing,T-shirt,Zara,Black,XS,2,2448,10,Standard Day,40,Standard,6,Yes,Net Banking,2,Not Returned,27,Fortnightly,2023,5,May,2023-05,Q2,Monday,35-44,False,True,True,False,1224.0,True,True
TXN500071,CUST002080,2024-06-28,58,Male,Chennai,Offline,In-Store Purchase,Footwear,Running Shoes,Nike,Blue,7,3,21027,9,Standard Day,0,N/A (Offline),0,Yes,UPI,4,Not Returned,3,Quarterly,2024,6,June,2024-06,Q2,Friday,55-64,False,True,False,False,7009.0,True,False
TXN500072,CUST002195,2024-12-16,44,Female,Noida,Offline,In-Store Purchase,Footwear,Running Shoes,HRX,Beige,8,1,4593,1,Standard Day,0,N/A (Offline),0,No,Cash,2,Not Returned,29,Weekly,2024,12,December,2024-12,Q4,Monday,35-44,False,False,False,False,4593.0,True,False
TXN500073,CUST002081,2023-03-10,19,Female,Pune,Offline,In-Store Purchase,Clothing,Kurta,FabIndia,White,XL,3,7536,4,Standard Day,0,N/A (Offline),0,No,UPI,4,Not Returned,7,Monthly,2023,3,March,2023-03,Q1,Friday,18-24,False,False,False,False,2512.0,True,False
TXN500074,CUST002571,2024-10-27,45,Female,Bhubaneswar,Offline,In-Store Purchase,Clothing,Jacket,Puma,Blue,L,2,12988,28,In-Store Festival Offer,0,N/A (Offline),0,No,UPI,4,Returned,5,Monthly,2024,10,October,2024-10,Q4,Sunday,45-54,True,False,False,True,6494.0,True,False
TXN500075,CUST003061,2024-05-25,24,Female,Noida,Online,Nykaa,Footwear,Slippers,Bata,Red,9,3,1473,10,Standard Day,0,Standard,5,Yes,UPI,3,Not Returned,1,Rarely,2024,5,May,2024-05,Q2,Saturday,18-24,False,True,True,False,491.0,True,False
TXN500076,CUST002748,2023-02-26,24,Female,Nagpur,Online,Nykaa,Clothing,Jacket,H&M,Brown,S,2,6910,3,Standard Day,40,Standard,6,No,Credit Card,3,Not Returned,13,Fortnightly,2023,2,February,2023-02,Q1,Sunday,18-24,False,False,True,False,3455.0,True,True
TXN500077,CUST001323,2023-06-08,45,Female,Visakhapatnam,Online,Amazon,Accessories,Backpack,Tommy Hilfiger,Navy,Free Size,1,3312,12,Standard Day,60,Standard,7,No,Wallet,4,Not Returned,19,Fortnightly,2023,6,June,2023-06,Q2,Thursday,45-54,False,False,True,False,3312.0,True,True
TXN500078,CUST003254,2024-07-02,56,Female,Delhi,Online,Ajio,Clothing,Shorts,Allen Solly,Brown,L,1,2192,10,Standard Day,40,Express,2,No,Net Banking,3,Not Returned,5,Monthly,2024,7,July,2024-07,Q3,Tuesday,55-64,False,False,True,False,2192.0,True,True
TXN500079,CUST003318,2023-11-10,39,Female,Patna,Offline,In-Store Purchase,Clothing,Kurta,Biba,Grey,L,2,1890,17,In-Store Festival Offer,0,N/A (Offline),0,No,Cash,5,Not Returned,4,Quarterly,2023,11,November,2023-11,Q4,Friday,35-44,False,False,False,True,945.0,True,False
TXN500080,CUST000012,2024-08-20,21,Male,Surat,Online,Flipkart,Clothing,Kurta,Biba,Navy,S,1,1765,5,Standard Day,40,Standard,6,No,UPI,3,Not Returned,32,Fortnightly,2024,8,August,2024-08,Q3,Tuesday,18-24,False,False,True,False,1765.0,True,True
TXN500081,CUST002379,2024-07-30,56,Female,Noida,Online,Myntra,Clothing,Saree,Biba,Blue,S,1,8336,6,Standard Day,99,Express,2,No,Wallet,4,Not Returned,4,Quarterly,2024,7,July,2024-07,Q3,Tuesday,55-64,False,False,True,False,8336.0,True,True
TXN500082,CUST002105,2024-03-31,36,Male,Kolkata,Offline,In-Store Purchase,Footwear,Slippers,Hush Puppies,Navy,11,2,2811,7,Standard Day,0,N/A (Offline),0,Yes,UPI,4,Not Returned,7,Monthly,2024,3,March,2024-03,Q1,Sunday,35-44,False,True,False,False,1405.5,True,False
TXN500083,CUST003473,2024-04-06,24,Male,Chandigarh,Online,Myntra,Accessories,Socks,Levis,Red,Free Size,1,586,2,Standard Day,99,Standard,4,No,Debit Card,4,Not Returned,20,Fortnightly,2024,4,April,2024-04,Q2,Saturday,18-24,False,False,True,False,586.0,True,True
TXN500084,CUST000586,2023-10-01,37,Male,Jaipur,Online,Meesho,Footwear,Running Shoes,Puma,Grey,9,1,6828,4,Standard Day,0,Standard,6,No,Cash on Delivery,3,Returned,8,Monthly,2023,10,October,2023-10,Q4,Sunday,35-44,True,False,True,False,6828.0,True,False
TXN500085,CUST000607,2024-11-02,46,Female,Ahmedabad,Offline,In-Store Purchase,Clothing,Saree,Max,Green,XXL,1,5334,26,In-Store Festival Offer,0,N/A (Offline),0,Yes,Credit Card,3,Not Returned,62,Weekly,2024,11,November,2024-11,Q4,Saturday,45-54,False,True,False,True,5334.0,True,False
TXN500086,CUST000312,2023-01-25,47,Other,Gurgaon,Offline,In-Store Purchase,Clothing,Saree,Biba,Beige,M,1,3836,15,In-Store Festival Offer,0,N/A (Offline),0,No,Debit Card,5,Not Returned,4,Quarterly,2023,1,January,2023-01,Q1,Wednesday,45-54,False,False,False,True,3836.0,True,False
TXN500087,CUST002728,2024-07-14,34,Female,Patna,Offline,In-Store Purchase,Accessories,Backpack,Fastrack,Green,Free Size,2,3014,3,Standard Day,0,N/A (Offline),0,No,Debit Card,3,Not Returned,62,Weekly,2024,7,July,2024-07,Q3,Sunday,25-34,False,False,False,False,1507.0,True,False
TXN500088,CUST002081,2024-07-08,19,Female,Pune,Online,Amazon,Footwear,Heels,Zara,Olive,11,1,6433,2,Standard Day,40,Standard,7,No,UPI,3,Not Returned,10,Monthly,2024,7,July,2024-07,Q3,Monday,18-24,False,False,True,False,6433.0,True,True
TXN500089,CUST000094,2024-04-13,36,Female,Nagpur,Online,Flipkart,Clothing,Hoodie,HRX,Beige,XS,3,7057,1,Standard Day,99,Same Day,0,No,Net Banking,3,Not Returned,3,Monthly,2024,4,April,2024-04,Q2,Saturday,35-44,False,False,True,False,2352.3333333333335,True,True
